country,region,ewaste_mill_kg,ewaste_kg_capita,collected_recycled_mill_kg,national_policy,epr,collection_target,recycling_target,country_short,income,policy_level
Afghanistan,Asia,32,0.8,NA,FALSE,FALSE,FALSE,FALSE,Afghanistan,low,0
Albania,Europe,24,8.3,NA,TRUE,TRUE,FALSE,FALSE,Albania,middle,2
Algeria,Africa,333,7.5,NA,FALSE,FALSE,FALSE,FALSE,Algeria,middle,0
Angola,Africa,148,4.2,NA,FALSE,FALSE,FALSE,FALSE,Angola,middle,0
Antigua and Barb.,Americas,1,13.3,NA,FALSE,FALSE,FALSE,FALSE,Ant. & Barb.,high,0
Argentina,Americas,517,11.4,14.4,TRUE,TRUE,FALSE,FALSE,Argentina,middle,2
Armenia,Asia,22,7.8,NA,FALSE,FALSE,FALSE,FALSE,Armenia,middle,0
Aruba,Americas,2,20.7,NA,FALSE,FALSE,FALSE,FALSE,Aruba,high,0
Australia,Oceania,583,22.4,292.4,TRUE,TRUE,TRUE,TRUE,Australia,high,4
Austria,Europe,175,19.6,133.2,TRUE,TRUE,TRUE,TRUE,Austria,high,4
Azerbaijan,Asia,90,8.7,0.01,FALSE,FALSE,FALSE,FALSE,Azerbaijan,middle,0
Bahamas,Americas,7,17.7,NA,FALSE,FALSE,FALSE,FALSE,Bahamas,high,0
Bahrain,Asia,26,17.8,NA,TRUE,FALSE,FALSE,FALSE,Bahrain,high,1
Bangladesh,Asia,367,2.2,NA,TRUE,TRUE,TRUE,FALSE,Bangladesh,middle,3
Barbados,Americas,4,14.7,NA,FALSE,FALSE,FALSE,FALSE,Barbados,high,0
Belarus,Europe,111,11.6,31,TRUE,TRUE,FALSE,FALSE,Belarus,middle,2
Belgium,Europe,252,21.7,162.8,TRUE,TRUE,TRUE,TRUE,Belgium,high,4
Belize,Americas,3,7.1,NA,FALSE,FALSE,FALSE,FALSE,Belize,middle,0
Benin,Africa,14,1.1,NA,FALSE,FALSE,FALSE,FALSE,Benin,middle,0
Bhutan,Asia,5,6.7,0.5,FALSE,FALSE,FALSE,FALSE,Bhutan,middle,0
Bolivia,Americas,89,7.3,2.4,TRUE,TRUE,FALSE,FALSE,Bolivia,middle,2
Bosnia and Herz.,Europe,33,10.1,4.9,TRUE,TRUE,TRUE,TRUE,Bos. & Herz.,middle,4
Botswana,Africa,23,8.7,NA,FALSE,FALSE,FALSE,FALSE,Botswana,middle,0
Brazil,Americas,2443,11.4,79,TRUE,TRUE,TRUE,FALSE,Brazil,middle,3
Brunei,Asia,9,19.9,NA,FALSE,FALSE,FALSE,FALSE,Brunei,high,0
Bulgaria,Europe,90,13.2,75.5,TRUE,TRUE,TRUE,TRUE,Bulgaria,middle,4
